run_id,beam_size,img,label_true,context_true,label_generated
20230319_111152,statista-small,concadia,5,4.jpg,"Bar chart versus time. The graph rises steadily from 1996 to 2007, from about 0.7 to about 5.3. The trend curves slightly upward."," Most recent reviews tend to estimate a prevalence of 12 per 1,000 for autism and close to 6 per 1,000 for ASD as of 2007. A 2016 survey in the United States reported a rate of 25 per 1,000 children for ASD. Globally, autism affects an estimated 24.8 million people as of 2015[update], while Asperger syndrome affects a further 37.2 million. In 2012, the NHS estimated that the overall prevalence of autism among adults aged 18 years and over in the UK was 1.1%. Rates of PDD-NOS's has been estimated at 3.7 per 1,000, Asperger syndrome at roughly 0.6 per 1,000, and childhood disintegrative disorder at 0.02 per 1,000. CDC estimates about 1 out of 59 (1.7%) for 2014, an increase from 1 out of every 68 children (1.5%) for 2010.","This statistic shows the rate of individuals with a doctor per day in the United States as of July 2014 , sorted by age group . As of that year , 22 percent of women aged 15 to 24 years were diagnosed with an average per day ."
20230319_111152,statista-small,concadia,5,597.jpg,Population graph,"  Population pyramid of Bulgaria in 2017 The population of Bulgaria is 7,364,570 people according to the 2011 national census. The majority of the population, 72.5%, reside in urban areas. As of 2019[update], Sofia is the most populated urban centre with 1,241,675 people, followed by Plovdiv (346,893), Varna (336,505), Burgas (202,434) and Ruse (142,902). Bulgarians are the main ethnic group and constitute 84.8% of the population. Turkish and Roma minorities account for 8.8 and 4.9%, respectively; some 40 smaller minorities account for 0.7%, and 0.8% do not self-identify with an ethnic group. Former Statistics head Reneta Indzhova has disputed the 2011 census figures, suggesting the actual population is smaller than reported. The Roma minority is usually underestimated in census data and may represent up to 11% of the population. Population density is 65 per square kilometre, almost half the European Union average.","This statistic shows the population of the United Kingdom ( UK ) from 2009 to 2019 . The number of people living in urban areas and has increased over the past three years , and the second quarter of 2019 , the second and third quarter of 2020 , it was"
20230319_111152,statista-small,concadia,5,644.jpg,"Graph showing 16 voltage traces going across the page from left to right, each showing a different signal. At the middle of the page all of the traces abruptly begin to show sharp jerky spikes, which continue to the end of the plot."," As a side effect of the electrochemical processes used by neurons for signaling, brain tissue generates electric fields when it is active. When large numbers of neurons show synchronized activity, the electric fields that they generate can be large enough to detect outside the skull, using electroencephalography (EEG) or magnetoencephalography (MEG). EEG recordings, along with recordings made from electrodes implanted inside the brains of animals such as rats, show that the brain of a living animal is constantly active, even during sleep. Each part of the brain shows a mixture of rhythmic and nonrhythmic activity, which may vary according to behavioral state. In mammals, the cerebral cortex tends to show large slow delta waves during sleep, faster alpha waves when the animal is awake but inattentive, and chaotic-looking irregular activity when the animal is actively engaged in a task, called beta and gamma waves. During an epileptic seizure, the brain's inhibitory control mechanisms fail to function and electrical activity rises to pathological levels, producing EEG traces that show large wave and spike patterns not seen in a healthy brain. Relating these population-level patterns to the computational functions of individual neurons is a major focus of current research in neurophysiology.","This statistic shows the number of VAT deposited by the United Kingdom ( UK ) as of January 2017 , a survey conducted by the United Kingdom ( UK ) outbreak . As of January 2017 , the United Kingdom ( UK ) had the highest number of deputies at all"
20230319_111152,statista-small,concadia,5,794.jpg,Line graph,"  UK rail subsidy 19852015 (in 2015 terms), showing the huge increase after the Hatfield crash Main articles: Privatisation of British Rail and Impact of the privatisation of British Rail",This statistic shows the total amount of money 's gross domestic product ( GDP ) in the United Kingdom ( UK ) from 2015 to 2021 . The wholesale price of Private equity was the second largest in the United Kingdom .
20230319_111152,statista-small,concadia,5,1262.jpg,"A 2D graph with rectangular cells in black and white, spanning from the lower left corner to the upper right corner, with cells mostly becoming lighter closer to the latter"," Dubnium, having an atomic number of 105, is a superheavy element; like all elements with such high atomic numbers, it is very unstable. The longest-lasting known isotope of dubnium, 268Db, has a half-life of around a day. No stable isotopes have been seen, and a 2012 calculation by JINR suggested that the half-lives of all dubnium isotopes would not significantly exceed a day.[k] Dubnium can only be obtained by artificial production.[l]","This statistic shows the world 's largest share of natural gas , which is the world . In that year , the United States had the highest number of chickens ."
20230319_111152,statista-small,concadia,5,1661.jpg,graph," FGM is mostly found in what Gerry Mackie called an ""intriguingly contiguous"" zone in Africaeast to west from Somalia to Senegal, and north to south from Egypt to Tanzania. Nationally representative figures are available for 27 countries in Africa, as well as Indonesia, Iraqi Kurdistan and Yemen. Over 200 million women and girls are thought to be living with FGM in those 30 countries.","This statistic shows the total number of people living in selected countries worldwide from 1950 to 2050 . In 2006 , the country 's population in the world ."
20230319_111152,statista-small,concadia,5,1961.jpg,Population graph," The Census and Statistics Department estimated Hong Kong's population at 7,482,500 in mid-2019. The overwhelming majority (92 per cent) is Han Chinese, most of whom are Taishanese, Teochew, Hakka, and a number of other Cantonese peoples. The remaining eight per cent are non-ethnic Chinese minorities, primarily Filipinos, Indonesians, and South Asians. About half the population have some form of British nationality, a legacy of colonial rule; 3.4million residents have British National (Overseas) status, and 260,000 British citizens live in the territory. The vast majority also hold Chinese nationality, automatically granted to all ethnic Chinese residents at the transfer of sovereignty. Headline population density of about 6,800 people/km2 does not reflect true densities since only 6.9% of land is residential, the residential average population density calculates closer to a highly cramped 100,000/km2.","This statistic shows the percentage of the population living in Great Britain , as of March 2019 , by state . As of the same period , the majority of the respondents aged 18 to 29 years , who were aged 65 years and older ."
20230319_111152,statista-small,concadia,5,2158.jpg,A graph of attenuation coefficient vs. energy between 1meV and 100keV for several photon scattering mechanisms.," Apart from traditional applications, iron is also used for protection from ionizing radiation. Although it is lighter than another traditional protection material, lead, it is much stronger mechanically. The attenuation of radiation as a function of energy is shown in the graph.","This statistic shows the number of heat pumps from natural gas in the United Kingdom ( UK ) from 2013 to 2019 . In 2019 , the amount of electricity from natural gas was higher ."
20230319_111152,statista-small,concadia,5,2475.jpg,Line graph of yearly growth," Karnataka had an estimated GSDP (Gross State Domestic Product) of about US$115.86billion in the 201415 fiscal year. The state registered a GSDP growth rate of 7% for the year 20142015. Karnataka's contribution to India's GDP in the year 201415 was 7.54%. With GDP growth of 17.59% and per capita GDP growth of 16.04%, Karnataka is on the 6th position among all states and union territories. In an employment survey conducted for the year 20132014, the unemployment rate in Karnataka was 1.8% compared to the national rate of 4.9%. A BloombergQuint article argues Karnataka to be India's most prosperous state citing many reasons.In 20112012, Karnataka had an estimated poverty ratio of 20.91% compared to the national ratio of 21.92%.","This statistic shows the gross domestic product ( GDP ) of South Korea in the fiscal year of 2014 . In the fiscal year of 2019 , the gross domestic product ( GDP ) was ranked first with the highest share of the country 's GDP ."
20230319_111152,statista-small,concadia,5,2476.jpg,Pie chart of economy sectors," Since the 1980s, Karnataka has emerged as the pan-Indian leader in the field of IT (information technology). In 2007, there were nearly 2,000 firms operating in Karnataka. Many of them, including two of India's biggest software firms, Infosys and Wipro, are also headquartered in the state. Exports from these firms exceeded 500 billion (equivalent to 1.3trillion or US$18billion in 2019) in 200607, accounting for nearly 38% of all IT exports from India. The Nandi Hills area in the outskirts of Devanahalli is the site of the upcoming $22billion, 50km2 BIAL IT Investment Region, one of the largest infrastructure projects in the history of Karnataka. All this has earned the state capital, Bangalore, the sobriquet Silicon Valley of India.","This statistic shows the results of a survey , conducted in the United States , as of the world 's population in the United States . As of 2017 , it was found that South Africa 's South Africa 's gross domestic product ( GDP ) was ranked first in the"
